kode,nama,lat,lng
91.19,Kabupaten Supiori,-0.73068,135.73264
91.20,Kabupaten Mamberamo Raya,-2.37081,138.04987
91.71,Kota Jayapura,-2.56263,140.69263
92.02,Kabupaten Manokwari,-0.89081,134.04012
92.03,Kabupaten Fak Fak,-2.92886,132.29363
92.06,Kabupaten Teluk Bintuni,-2.03497,133.73181
92.07,Kabupaten Teluk Wondama,-2.82769,134.53572
92.08,Kabupaten Kaimana,-3.63969,133.74007
92.11,Kabupaten Manokwari Selatan,-1.5064,134.16864
92.12,Kabupaten Pegunungan Arfak,-1.32505,133.91657
93.01,Kabupaten Merauke,-8.5087,140.40968
93.02,Kabupaten Boven Digoel,-6.1004,140.32061
93.03,Kabupaten Mappi,-6.52815,139.31925
93.04,Kabupaten Asmat,-5.54095,138.13683
94.01,Kabupaten Nabire,-3.36337,135.50389
94.02,Kabupaten Puncak Jaya,-3.71621,137.98782
94.03,Kabupaten Paniai,-3.94144,136.42163
94.04,Kabupaten Mimika,-4.45586,136.85373
94.05,Kabupaten Puncak,-3.97161,137.6418
94.06,Kabupaten Dogiyai,-4.00461,136.03776
94.07,Kabupaten Intan Jaya,-3.74053,137.04395
94.08,Kabupaten Deiyai,-4.03225,136.29899
95.01,Kabupaten Jayawijaya,-4.09931,138.94315
95.02,Kabupaten Pegunungan Bintang,-4.8909,140.63992
95.03,Kabupaten Yahukimo,-4.88695,139.52052
95.04,Kabupaten Tolikara,-3.68225,138.47348
95.05,Kabupaten Mamberamo Tengah,-3.67162,139.06076
95.06,Kabupaten Yalimo,-3.77885,139.38316
95.07,Kabupaten Lanny Jaya,-3.9236,138.44958
95.08,Kabupaten Nduga,-4.40694,138.23935
96.01,Kabupaten Sorong,-0.98816,131.36621
96.02,Kabupaten Sorong Selatan,-1.47525,132.08562
96.03,Kabupaten Raja Ampat,-0.41851,130.82879
96.04,Kabupaten Tambrauw,-0.4973,132.0881
96.05,Kabupaten Maybrat,-1.25725,132.49862
96.71,Kota Sorong,-0.88112,131.28764
